iter	Passed	Remaining
0	95	19046
1	142	14141
2	181	11906
3	219	10749
4	259	10122
5	299	9698
6	338	9337
7	378	9077
8	424	9011
9	464	8830
10	504	8671
11	543	8507
12	579	8330
13	618	8215
14	656	8099
15	690	7942
16	721	7766
17	753	7621
18	786	7494
19	818	7366
20	850	7251
21	882	7140
22	917	7061
23	951	6978
24	986	6904
25	1022	6842
26	1056	6772
27	1087	6682
28	1122	6619
29	1152	6528
30	1184	6456
31	1213	6371
32	1244	6300
33	1274	6224
34	1305	6156
35	1337	6092
36	1369	6032
37	1399	5967
38	1431	5910
39	1464	5857
40	1495	5799
41	1526	5741
42	1557	5685
43	1587	5627
44	1616	5567
45	1648	5520
46	1681	5473
47	1715	5431
48	1748	5387
49	1778	5334
50	1809	5286
51	1842	5244
52	1873	5197
53	1906	5155
54	1940	5114
55	1973	5075
56	2006	5034
57	2044	5006
58	2080	4972
59	2110	4925
60	2142	4881
61	2174	4839
62	2206	4797
63	2238	4755
64	2268	4710
65	2298	4667
66	2330	4626
67	2364	4590
68	2398	4553
69	2431	4515
70	2462	4474
71	2482	4414
72	2514	4374
73	2546	4335
74	2577	4296
75	2609	4257
76	2641	4219
77	2676	4185
78	2708	4148
79	2739	4109
80	2770	4070
81	2801	4032
82	2833	3994
83	2865	3957
84	2903	3928
85	2940	3897
86	2973	3862
87	3007	3827
88	3044	3796
89	3076	3760
90	3107	3721
91	3139	3684
92	3169	3647
93	3203	3612
94	3236	3577
95	3267	3539
96	3297	3501
97	3329	3465
98	3361	3429
99	3393	3393
100	3423	3356
101	3455	3319
102	3487	3284
103	3518	3247
104	3550	3212
105	3582	3177
106	3613	3140
107	3645	3105
108	3679	3072
109	3709	3035
110	3741	3000
111	3774	2965
112	3810	2933
113	3844	2900
114	3876	2865
115	3908	2830
116	3945	2799
117	3978	2765
118	4013	2731
119	4045	2697
120	4076	2661
121	4107	2625
122	4138	2590
123	4169	2555
124	4203	2521
125	4232	2485
126	4267	2452
127	4299	2418
128	4331	2383
129	4361	2348
130	4395	2315
131	4426	2280
132	4456	2244
133	4487	2210
134	4518	2175
135	4550	2141
136	4581	2106
137	4613	2072
138	4643	2037
139	4673	2003
140	4705	1968
141	4736	1934
142	4768	1900
143	4800	1866
144	4831	1832
145	4862	1798
146	4893	1764
147	4926	1731
148	4961	1698
149	4996	1665
150	5030	1632
151	5060	1597
152	5091	1564
153	5122	1530
154	5154	1496
155	5184	1462
156	5217	1428
157	5247	1394
158	5280	1361
159	5312	1328
160	5342	1294
161	5375	1260
162	5406	1227
163	5437	1193
164	5468	1160
165	5499	1126
166	5532	1093
167	5561	1059
168	5592	1025
169	5625	992
170	5656	959
171	5692	926
172	5725	893
173	5755	860
174	5786	826
175	5818	793
176	5850	760
177	5882	727
178	5915	694
179	5949	661
180	5982	627
181	6015	594
182	6048	561
183	6079	528
184	6111	495
185	6140	462
186	6173	429
187	6206	396
188	6236	362
189	6268	329
190	6300	296
191	6331	263
192	6364	230
193	6396	197
194	6429	164
195	6460	131
196	6492	98
197	6522	65
198	6553	32
199	6584	0
