Confusion Matrix,Accuracy,Precision,Recall,F1 Score,CV Accuracy Mean,CV Accuracy Std,Features
"[[23646  4352]
 [ 2441 28206]]",0.8841674482053031,0.8854740656113148,0.8841674482053031,0.8838721723854838,0.8843550174780459,0.010387946392991192,10
"[[24156  3842]
 [ 2542 28105]]",0.8911416148009208,0.8916968731602847,0.8911416148009208,0.8909783832521438,0.891243925313326,0.007141733024663233,11
"[[25072  2926]
 [ 2938 27709]]",0.9000085258760337,0.9000104451067935,0.9000085258760337,0.9000094477495777,0.9000085258760337,0.004629919655215111,12
"[[25185  2813]
 [ 2872 27775]]",0.9030607894961207,0.9030712513220955,0.9030607894961207,0.9030651050562796,0.9027027027027028,0.004842637545424339,13
"[[25309  2689]
 [ 2766 27881]]",0.9069826924716514,0.9069965572801452,0.9069826924716514,0.9069880590765009,0.906999744223719,0.0059862093651199344,14
"[[25282  2716]
 [ 2759 27888]]",0.906641657430301,0.906648729441293,0.906641657430301,0.9066447052722314,0.9069485889675164,0.005684553918939958,15
"[[25416  2582]
 [ 2735 27912]]",0.90933583425697,0.9093683993875002,0.90933583425697,0.9093459197496362,0.9095404552817803,0.007811489325691468,16
"[[25479  2519]
 [ 2578 28069]]",0.9130872197118254,0.9130968092331596,0.9130872197118254,0.9130910889132554,0.9126438741580698,0.00816022102145788,17
"[[25543  2455]
 [ 2476 28171]]",0.9159178105550345,0.9159207497168255,0.9159178105550345,0.9159191625020666,0.9156961377781567,0.006266930665298623,18
"[[25714  2284]
 [ 2443 28204]]",0.9193963679768096,0.9194284927388547,0.9193963679768096,0.9194056634763766,0.9201466450677808,0.006174665222204096,19
"[[25768  2230]
 [ 2378 28269]]",0.921425526472845,0.9214542226882035,0.921425526472845,0.9214339984638125,0.9221758035638162,0.00429907101223652,20
"[[25804  2194]
 [ 2370 28277]]",0.9221758035638162,0.9222121686623539,0.9221758035638162,0.9221856700476355,0.9227214596299771,0.004080181773433377,21
"[[25779  2219]
 [ 2288 28359]]",0.9231477534316651,0.9231582845748156,0.9231477534316651,0.9231517391329245,0.9236763577457584,0.004033523379951687,22
"[[25853  2145]
 [ 2258 28389]]",0.9249211356466877,0.9249405483901911,0.9249211356466877,0.9249274031747584,0.9252792224401057,0.0012857970856174768,23
"[[25823  2175]
 [ 2238 28409]]",0.9247506181260124,0.9247598988804236,0.9247506181260124,0.9247541896642836,0.9247506181260124,0.0014575009393031184,24
"[[25851  2147]
 [ 2223 28424]]",0.925483843464916,0.9254954467705749,0.925483843464916,0.9254880884741652,0.9256884644897264,0.0010154028429335427,25
